no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
51.0,Hanmi,Rahul Mor,Module GF,12.03.2026,DSHI,"Staircase Access way is full of trip hazards,  materials, electric cable scattered in haphazard manner","Kindly clear the access way of staircase, remove all materials",Yes,WhatsApp Image 2026-03-11 at 8.55.20 AM (1),,Falling,전도/낙하/부딪힘,추락,0.5021,0.4971
52.0,Hanmi,Rahul Mor,Module GF,12.03.2026,DSHI,"Unsafe handling of power tools, standing by putting foot on it & power cable",Do handling of power tools & other materials in safe manner,Yes,WhatsApp Image 2026-03-12 at 8.41.17 AM,,Electric shock,감전/합선,감전,1.0,1.0
53.0,Hanmi,Rahul Mor,Module GF,12.03.2026,Daemyoung,Hydrostatic test pump  Need additional body earthing to be provided for secondary protection ,Kindly provide additional body earthing for the pump,Yes,WhatsApp Image 2026-03-12 at 8.55.47 AM,,Electric shock,감전/합선,감전,1.0,1.0
54.0,Hanmi,Surender Kumar,Module 1F,12.03.2026,Hankuk,Workers were nor removed from lifting work range area ,Kindly barricade the lifting work area & remove all the unauthorized person,Yes,WhatsApp Image 2026-03-12 at 9.05.38 AM,,Falling,떨어짐/낙상,추락,0.416,0.5032
55.0,Hanmi,Rahul Mor,Module GF,12.03.2026,DSHI,"Using of ratchet belts for holding heavy weights without any insulation/packing which will start damaging the ratchet belts ,during further use it will break anytime",Provide proper insulation/packing to avoid the damage of ratchet belt,Yes,WhatsApp Image 2026-03-12 at 9.15.53 AM,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
56.0,Hanmi,Surender Kumar,Module 1F,12.03.2026,Hankuk,Uneven staking of materials,Do proper /safe staking of materials,Yes,WhatsApp Image 2026-03-12 at 9.51.18 AM (2),,Falling,전도/낙하/부딪힘,낙하,0.4829,0.4273
57.0,Hanmi,Surender Kumar,Module 1F,12.03.2026,Hankuk,Unsafe staking height of scaffolding pipes ," Decrease the unsafe staking height , Do not allow to stake the material above safe height",Yes,WhatsApp Image 2026-03-12 at 9.53.25 AM,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
58.0,Hanmi,Rahul Mor,Module 1F,12.03.2026,DSHI,"Verticals pipes were not fixed/placed properly ,out of the base jack which make the jack unsafe & loose also",Do proper arrangement to place the verticals on the base jack ,Yes,KakaoTalk_20260313_081636726_10,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
59.0,Hanmi,Rahul Mor,Module 1F,12.03.2026,DSHI,Scaffolding Joint pin of vertical/standards were not installed in many areas which may lead to  collision of scaffolding ,Provide scaffolding joint pins for all areas,Yes,KakaoTalk_20260313_081636726_06,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
60.0,Hanmi,Rahul Mor,Module 1F,12.03.2026,Hankuk,Avoiding SWL of scaffold  3 person on single scaffold at the same time,Follow SWL of scaffolding ,Yes,KakaoTalk_20260313_081636726_05,,Falling,떨어짐/낙상,추락,0.4712,0.4676
