no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
318.0,Hanmi,Rahul Mor,Module 1F,15.04.2026,Hankuk,Electric cable were touching the ms scaffold at many points which is very unsafe ,"Kindly check & plan reroute this LT cable (if possible) because this one is touching the scaffolding at many points .
Or use flexible conduits pipe to avoid direct touching to ms scaffolding. ",No,,,Electric shock,감전/합선,감전,1.0,1.0
319.0,Hanmi,Rahul Mor,Module 1F,15.04.2026,DSHI,"Lifeline not tighten properly, Without inspection tag ",Kindly rearrange the lifeline properly & provide inspection tag,Yes,,,Falling,전도/낙하/부딪힘,추락,0.3921,0.3613
320.0,Hanmi,Rahul Mor,Module GF,15.04.2026,Hankuk,"Unsafe Bundling & Lifting of Scaffolding Jacks
Loads was wrapped only with plastic wraps Shifted during lifting",Kindly ensure to rearrange/rebundle  before lifting/shifting,Yes,,,Dropping,전도/낙하/부딪힘,추락,0.3517,0.3789
321.0,Hanmi,Rahul Mor,Module 1F,15.04.2026,DSHI,"Boom lift bucket upside rest area , in rest area workers are there 
No signalman is there","Remove the people from this rest area if working in this range , told to use another rest area ",Yes,,,Dropping,전도/낙하/부딪힘,추락,0.3965,0.4017
322.0,Hanmi,Rahul Mor,Module 2F,15.04.2026,Hankuk,Unsafe opening at height (High risky),Close this ASAP,Yes,,,Falling,전도/낙하/부딪힘,추락,0.3963,0.4356
323.0,Hanmi,Surender Kumar,Module GF,16.04.2026,DSHI,"Incomplete scaffold without inspection tag,steps platform was placed in the access way of staircase","Kindly dismantle the incomplete scaffold without any inspection tag 
Remove the steps platform from Staircase entrance ",Yes,,,Entrapment,끼임,협착,1.0,1.0
324.0,Hanmi,Rahul Mor,Module 2F,16.04.2026,Hankuk,Housekeeping worker at edge area over scaffold with safety harness ,Even housekeeping worker going near the edge area at height over scaffolding then kindly ensure to use Safety harness at that time ,No,,,Falling,떨어짐/낙상,추락,0.4776,0.4925
325.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk,Unsafe arrangements for electrical cables,Use insulated hanger instead,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
326.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,DSHI,"Damaged fire blanket used during hot work,safety handle of grinding machine was removed ","Use grinder Safety  handle , clean the area & don't use damaged fire blankets ",Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
327.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk,"Lifeline ahead this area not available, worker sitting there without anchoring of Safety harness, ",give safe anchoring point & instructed them to anchor all the time,No,,,Falling,떨어짐/낙상,추락,0.4697,0.5094
328.0,Hanmi,Rahul Mor,Module 2F,16.04.2026,Hankuk,Unsafe opening at height ,"Block ??  these both openings, workers are working just nearby ",Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
329.0,Hanmi,Surender Kumar,Module 2F,16.04.2026,Hankuk,Unsafe opening at height ,Kindly check & provide barrier immediately ,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4309,0.4706
330.0,Hanmi,Surender Kumar,Module 1F,16.04.2026,Hankuk,worker was using unsafe access to go upside of scaffolding,Kindly retrain the worker about height safety ,Yes,,,Falling,떨어짐/낙상,추락,0.5084,0.5207
331.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk,Joint pins or bolts  inadequately secured at vertical standard connections,Secure/tighten them properly,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
332.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk,  power cables tied directly to the metal scaffolding using binding wire,Kindly use insulated hanger for electric cable instead of binding wire,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
333.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk, Several horizontal ledgers having bends & deformation.,Kindly check/inspect with competent scaffolding engineer/supervisor & replace the damaged one & retrain your whole scaffolding team,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
334.0,Hanmi,Rahul Mor,Module 1F,16.04.2026,Hankuk, Non-standard clamps are being used to join Cuplock components [ also used binding wire ] ,Kindly check/inspect with competent scaffolding engineer/supervisor & replace the damaged one & retrain your whole scaffolding team,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
335.0,Hanmi,Rahul Mor,Module 2F,17.04.2026,DSHI,"Parallel bolting on two levels, boom lift is directly under the scissor lift.","Please Avoid parallel work[risk of fall of materials- bolts,hand tools",No,,,Dropping,전도/낙하/부딪힘,낙하,0.3698,0.3552
336.0,Hanmi,Rahul Mor,Module 2F,17.04.2026,DSHI," Two scissor lift are too close to slab edge, over extended platform, No safety marking [70%]",mark max. extension limits on all lifts.,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
337.0,Hanmi,Rahul Mor,Module 1F,17.04.2026,Hankuk,Worker using/stand on single plank at height in unsafe manner,Kindly use three planks instead of single plank during scaffolding erection [Avoid unsafe condition],Yes,,,Falling,전도/낙하/부딪힘,추락,0.5059,0.5319
338.0,Hanmi,Rahul Mor,Module 1F,17.04.2026,DSHI,The anchoring point is lower than safe height ,Kindly install lifeline post or double lifeline at safe height [As discussed],Yes,,,Falling,떨어짐/낙상,추락,0.4616,0.5145
339.0,Hanmi,Rahul Mor,Module 2F,17.04.2026,DSHI,worker hooked the safety harness in structure with hook on hook anchoring,"Kindly guide your team to avoid hook on hook anchoring of Safety harness , ",Yes,,,Falling,전도/낙하/부딪힘,추락,0.4136,0.4215
340.0,Hanmi,Rahul Mor,Module GF,17.04.2026,DSHI,Side support were not provided for beam structure,"The chains are clearly visible, but please ensure Chains must not be removed until the crane has secured the load. 
That's why Side supports are mandatory to prevent the beams from toppling sideways.",No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
341.0,Hanmi,Sangwon Oh,Module 1F,27.03.2026,DSHI,Leakage due to lack of caulking under the electrical compartment,Prevent leakage through caulking in cracks,Yes,,,Leak,LEAK,기타,0.4072,0.2193
,Hanmi,Surender Kumar,Module 1F,18.04.2026,Hankuk,Workers were not using Safety goggles during de shuttering work.,Kindly provide job specific PPE.,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Surender Kumar,Module 2F,18.04.2026,DSHI,"Incomplete barrier ,sitting just edge area during erection,not having proper signalman for erection/lifting area",Provide barrier at height & signalman should be there for erection/lifting work,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4017,0.4205
,Hanmi,Surender Kumar,Module 1F,18.04.2026,DSHI,Boom lift operator was sitting in unsafe manner during boom lift operation,Give training to your boom lift opeartor,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Surender Kumar,Module 1F,18.04.2026,DSHI,Workers& signalman were sitting in unsafe condition just  near the boom lift tyre during opeartion of boom lift,Kindly give training to your workers not si at site except designated rest area,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Surender Kumar,Module 1F,18.04.2026,DSHI,Bow shakle were without inspection tag & monthly color coding,Kindly provide inspection tag,No,,,Others,기타,기타,1.0,1.0
,Hanmi,Surender Kumar,Module 1F,18.04.2026,DSHI,Loose materials were out of material shifting box boundary which is unsafe during lifting/shifting,Kindly ensure not to overflow loose materials above the lifting box body,No,,,Dropping,전도/낙하/부딪힘,낙하,0.3704,0.4077
,Hanmi,Rahul Mor,Module GF,20.04.2026,DSHI,Materials were scattered in haphazarad manner at site in lifting zone,"Kindly do Housekeeping in this area , rearrange the scattered materials ",Yes,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module GF,20.04.2026,DSHI,No name tag sticker on toolbox,Display the material name tag on toolbox in lifting area ,Yes,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module GF,20.04.2026,DSHI,Incomple scaffold without any tag & just near the working scissor lift,Dismantle the incomplete scaffold just near scissor lift ,Yes,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module GF,20.04.2026,DSHI,"Improper earthing connection found on welding machine, earthing wire is loosely looped through the cable lug rather than being bolted.",Kindly check and do secure earthing connection for welding machine,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
,Hanmi,Surender Kumar,Module 1F,20.04.2026,DSHI,Damaged fire blanket used during hot work,Kindly replace the damaged fire blanket,Yes,,,Fire,화재/탄화,화재,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,"Missing guard railing/toe board ,materials placed just near the edge","Need to Install toe guard for this area , many materials are nearby & green net also rolled to upside ",Yes,,,Dropping,떨어짐/낙상,낙하,0.3908,0.4256
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,Damaged tools found at working site,"Kindly ensure not to use damaged tools, kindly remove the broken/damaged hammer ",Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,Lifeline not completed /balance area,Kindly extant the lifeline rope or top rail to the balance area ,No,,,Falling,전도/낙하/부딪힘,추락,0.4098,0.3202
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,No access to the working point,Kindly provide access to the working point ,No,,,Falling,전도/낙하/부딪힘,낙하,0.4548,0.4534
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,Materials were placedon the green net in unsafe manner,Kindly Remove the shuttering tie from green net & install toe guard if possible that balance area ,No,,,Dropping,전도/낙하/부딪힘,낙하,0.4131,0.4271
,Hanmi,Rahul Mor,Module 1F,20.04.2026,Hankuk,Worker using safety harness to pulling materials in unsafe manner,"Kindly train your workers, safety harness is not for this type of work [pulling] ",No,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,20.04.2026,Hankuk,Damaged lifting sling found with torn protective sleeve and improper wire stitching repair,Kindly Remove this sling from site ,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,20.04.2026,Hankuk,Without inspection tag shakle ,Kindly check/provide the inspection tag for both shakle ,No,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,20.04.2026,DSHI,"1.  Improper Termination (Knots) at the end of lifeline rope 
2.  The lifeline rope is wrapped directly around sharp metal edges, kindly use/provide softeners or padding to prevent abrasion.",Kindly secure the lifeline properly & make 8 type knot,No,,,Falling,떨어짐/낙상,추락,0.4147,0.4391
,Hanmi,Rahul Mor,Module 2F,20.04.2026,Hankuk,Damaged green net,Kindly rearrange the green net ,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.5406,0.5009
,Hanmi,Rahul Mor,Module 2F,20.04.2026,DSHI," Worker Going to upside area [ over purlin ] in unsafe manner by standing on mid railing, top railings , upside also  
High risk activity is being carried out in very unsafe manner  ","Use safe method
kindly check if any secondary fall protection you can arrange other than safety harness",No,,,Falling,전도/낙하/부딪힘,추락,0.4905,0.5115
,Hanmi,Rahul Mor,Module 2F,20.04.2026,DSHI,one signalman & one worker were sitting just near scissor lift while scissor lift was in operation ,Kindly give training to your workers ,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,Worker was found without anchoring of safety harness during de shuttering work.,"Kindly ensure each & every person in de shuttering team must anchor the safety harness, one of them is not anchored ",yes,,,Falling,떨어짐/낙상,추락,0.4262,0.4861
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,"All ladder [ used as temporary access] are in loose condition,  ",kindly fix/secure them all ,Yes,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,"Much opeing in rebars ,need to provide cover","Kindly place plywood temporarily for now ,cover the area ",Yes,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,"This rope is in damaged condition, kindly replace",  don't use this type of damaged rope,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4343,0.447
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,Without fire booth hot work going to be start,"Kindly make fire booth first, there are lots of flammable materials ",Yes,,,Fire,화재/탄화,화재,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,21.04.2026,Hankuk,"There are no guard railings for this area [ top,mid,toe guard] Moreover the gap/opening in platform",Kindly provide guard railing & close the opening area,Yes,,,Falling,떨어짐/낙상,추락,0.4569,0.4545
,Hanmi,Rahul Mor,Module 1F,21.04.2026,Hankuk,"Instructed yesterday also to remove metal wires from web slings.
Using metal wire on web slings is unsafe. The wire pinches and cuts the load-bearing fibers under the cover, which can cause sling failure.","Remove all metal wires immediately. 
Use safe alternatives like heavy-duty Velcro wear pads or sling protection sleeves.",Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,22.04.2026,Hankuk,Mid railing was not installed at edge area,Kindly complete the guard railings     [if possible] ,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4668,0.4723
,Hanmi,Rahul Mor,Module 2F,22.04.2026,Hankuk,Opening area barrier not provided,Kindly shift the barrier rope to the edge point,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4582,0.4112
,Hanmi,Rahul Mor,Module 2F,22.04.2026,Hankuk,Unsafe working platform,Kindly arrange safe working  platform ,No,,,Falling,전도/낙하/부딪힘,추락,0.4979,0.5203
,Hanmi,Rahul Mor,Module 1F,22.04.2026,Hankuk,"Kindly check, he didn't anchor safety harness, opening is just behind ",Kindly ensure anchoring of safety harness all the time at height,Yes,,,Falling,떨어짐/낙상,추락,0.4159,0.4355
,Hanmi,Rahul Mor,Module 2F,22.04.2026,Hankuk,"Opening area , without barrier workers are just nearby 
Kindly block 🚫  that area ahead & close the platform opening ",Kindly provide barrier for this area ,No,,,Falling,떨어짐/낙상,추락,0.4465,0.4784
,Hanmi,Surender Kumar,Module 1F,22.04.2026,DSHI,No signalman for scissor lift,Kindly provide signalman,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Surender Kumar,Module 1F,22.04.2026,DSHI,Unsafe body earthing connection without clamp,Kindly provide body earthing clamp,Yes,,,Electric shock,감전/합선,감전,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,22.04.2026,DSHI,"Already instructed to train your workers to use separate anchor point, still anchoring at same point in lifeline at this much height [Risky condition on single narrow beam]",Kindly use separate anchor point at heights,Yes,,,Falling,떨어짐/낙상,추락,0.5003,0.526
,Hanmi,Rahul Mor,Module 1F,22.04.2026,Hankuk,All the shakle here without tpi/inspection tag ,Kindly arrange ASAP ,Yes,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,23.04.2026,DSHI,Multilevel work are going on which is not allowed 🚫 & not safe ,"Kindly manage according to work priorities,Don't allow all at the same time  ",Yes,,,Dropping,전도/낙하/부딪힘,추락,0.3376,0.3718
,Hanmi,Rahul Mor,Module 2F,23.04.2026,Hankuk,"Near edge area working, both workers not anchored safety harness ",Kindly retrain them both & ensure anchoring ,Yes,,,Falling,떨어짐/낙상,추락,0.4761,0.4958
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,"Oxygen and DA gas cylinders are kept in same cage. This is fire/explosion risk.
DA gas MSDS not available at cage area.", They must be 6 meters away from each other in two different cages or have a fire wall between them during storage.,No,,,Explosion,화재/탄화,폭발,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,Only one strap is used to tighten these cylinders. Cylinders can tip over easily. ,Use chains or double straps.,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,Monthly inspection checklist of gas cylinder cage is not filled.,Kindly fill monthly inspection checklist,Yes,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,Hose of gas cutting set is tightened with sharp metal wire which can damage the hose and may lead to gas leakage during operation.,Kindly remove the sharp edges wire ASAP,Yes,,,Fire,화재/탄화,화재,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,Both cages [gas & chemical storage] were found unlocked. ,Instruct your team to lock the cages every time after use.,Yes,,,Fire,화재/탄화,화재,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,23.04.2026,DSHI,Gas cylinders were found without name tag & full& empty tag," Display gas name stickers for all gas cylinders which are not visible now.
 Segregate empty and full cylinders. Now unable to identify which gas cylinder is empty and which is full. Display Empty/Full tags also",Yes,,,Others,기타,기타,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,23.04.2026,Hankuk,"Poor access [unsafe climbing/much gap in planks/platform] even there are no other safe access available,kindly provide safe access.","These all are high risky, kindly ensure to close all ASAP, ",Yes,,,Falling,떨어짐/낙상,추락,0.4349,0.4807
,Hanmi,Rahul Mor,Module 2F,23.04.2026,Hankuk,"Gaps in timber,chances of shift of load during concrete", kindly insert hard wood wedges or any other safe option.,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,23.04.2026,Hankuk,". Loose props (unsecured /shaking)
",Kindly ensure all props are secured properly,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,24.04.2026,Hankuk,"Broken cup lock found on scaffold. Collar is cracked and cannot take load,  risk of collapse.","Kindly Replace the damaged part ,Kindly instruct your team to Check full scaffold for more damage before use",No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,24.04.2026,Daemyoung,Open shear studs creating trip & fall hazards on deck sheet  [Risky condition],"Kindly check with your team to remove for now
Or check for safe alternative to avoid trip & fall hazards",Yes,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,24.04.2026,DSHI,Without any lifting plan DSHI going to start lifting of boom lift from 1st floor to 2nd floor ,Kindly do pre planning before starting critical activities like lifting,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,24.04.2026,DSHI,Unsafe lifting angle& bypassing SLI,"Due to unsafe angle ,lifting work instructed to stop, not to bypass the SLI",Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,24.04.2026,DSHI,"Standing too close to edge without secondary protection [retractable fall arrestor] is not safe 
Negative behavior of DSHI manager ,standing just near the edge ,even he was not using the retractable fall arrestor first (before instruction)[secondary fall protection] ",Kindly work/stand at a safe distance from the edge area at height,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4666,0.4236
,Hanmi,Rahul Mor,Module 2F,24.04.2026,DSHI,Even no written permission to remove the hard barricade on 2nd floor," reinstall the hard barricade immediately,next time take written permission before remove any hard barricade
 plz ensure anchoring of Safety harness & use of retractable fall arrestor during Installation ",No,,,Falling,전도/낙하/부딪힘,추락,0.4027,0.3969
,Hanmi,Rahul Mor,Module 2F,24.04.2026,DSHI,Hook latch not closed/engaged properly ,Instructed to close properly,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,24.04.2026,DSHI,No side supports were there for the beam structure,Kindly provide side supports for these beam ,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
,Hanmi,Rahul Mor,Module 2F,24.04.2026,Hankuk,"Small metal pieces of deck sheets scattered in haphazard manner, ",kindly collect them in collection box or remove from site,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,24.04.2026,DSHI,Both the access are blocked 🚫 by Hankuk & DSHI ,"There must be an emergency access & pedestrian walkway at site all the time
Work planning should be accordingly
Kindly ensure",Yes,,,Entrapment,끼임,협착,1.0,1.0
,Hanmi,Rahul Mor,Module 1F,24.04.2026,DSHI, Signalman is standing by putting leg on beam which is without side support,Kindly retrain your signalman & provide side support for the beam structure,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
